"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2022","38,650.0","38,700.0","39,500.0","38,550.0","2.51M","-0.90%"
"10/03/2022","39,000.0","39,800.0","39,800.0","38,950.0","2.04M","0.52%"
"09/03/2022","38,800.0","38,850.0","39,350.0","38,800.0","2.65M","0.00%"
"08/03/2022","38,800.0","38,800.0","40,000.0","38,350.0","5.09M","-0.51%"
"07/03/2022","39,000.0","40,400.0","40,450.0","38,500.0","10.01M","-4.29%"
"04/03/2022","40,750.0","41,100.0","41,750.0","40,500.0","5.11M","-1.81%"
"03/03/2022","41,500.0","41,600.0","42,250.0","41,100.0","4.59M","0.12%"
"02/03/2022","41,450.0","42,450.0","43,300.0","41,100.0","8.27M","-3.15%"
"01/03/2022","42,800.0","42,200.0","43,200.0","41,900.0","11.88M","1.30%"
"28/02/2022","42,250.0","41,800.0","42,500.0","41,000.0","5.55M","0.72%"
"25/02/2022","41,950.0","41,700.0","42,750.0","41,300.0","10.80M","1.70%"
"24/02/2022","41,250.0","42,000.0","42,400.0","40,300.0","4.96M","-3.17%"
"23/02/2022","42,600.0","41,500.0","43,200.0","41,450.0","16.08M","2.65%"
"22/02/2022","41,500.0","40,550.0","41,500.0","40,400.0","8.31M","1.47%"
"21/02/2022","40,900.0","40,500.0","40,900.0","40,100.0","3.92M","0.25%"
"18/02/2022","40,800.0","40,500.0","41,200.0","40,500.0","3.76M","-0.85%"
"17/02/2022","41,150.0","40,400.0","41,150.0","40,300.0","3.08M","1.86%"
"16/02/2022","40,400.0","40,950.0","41,100.0","40,350.0","2.88M","-0.86%"
"15/02/2022","40,750.0","41,000.0","41,050.0","40,200.0","3.15M","1.88%"
"14/02/2022","40,000.0","42,000.0","42,850.0","40,000.0","7.41M","-6.65%"
"11/02/2022","42,850.0","41,000.0","42,950.0","40,800.0","15.98M","4.00%"
"10/02/2022","41,200.0","41,800.0","41,800.0","40,800.0","3.95M","-0.72%"
