"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2022","51,000.0","51,400.0","51,600.0","50,800.0","1.35M","-0.97%"
"10/03/2022","51,500.0","51,600.0","52,200.0","51,500.0","635.90K","0.59%"
"09/03/2022","51,200.0","51,700.0","52,500.0","50,700.0","1.40M","-1.73%"
"08/03/2022","52,100.0","53,000.0","53,400.0","52,100.0","1.74M","-3.16%"
"07/03/2022","53,800.0","54,000.0","54,300.0","52,900.0","1.35M","-1.47%"
"04/03/2022","54,600.0","54,900.0","55,400.0","54,400.0","1.60M","0.00%"
"03/03/2022","54,600.0","54,300.0","54,800.0","53,800.0","1.26M","1.68%"
"02/03/2022","53,700.0","54,200.0","54,700.0","53,700.0","1.37M","-0.74%"
"01/03/2022","54,100.0","53,000.0","54,300.0","52,700.0","2.00M","2.27%"
"28/02/2022","52,900.0","53,300.0","53,700.0","52,600.0","629.50K","-0.75%"
"25/02/2022","53,300.0","53,000.0","53,800.0","53,000.0","790.70K","0.95%"
"24/02/2022","52,800.0","54,100.0","54,100.0","51,500.0","1.95M","-2.40%"
"23/02/2022","54,100.0","53,900.0","54,700.0","53,400.0","1.02M","0.37%"
"22/02/2022","53,900.0","53,800.0","54,200.0","52,200.0","1.60M","-0.55%"
"21/02/2022","54,200.0","54,000.0","54,800.0","54,000.0","789.60K","0.37%"
"18/02/2022","54,000.0","54,400.0","54,800.0","54,000.0","939.60K","-1.64%"
"17/02/2022","54,900.0","53,900.0","54,900.0","53,300.0","2.02M","2.04%"
"16/02/2022","53,800.0","53,800.0","54,100.0","53,400.0","776.00K","0.56%"
"15/02/2022","53,500.0","52,600.0","53,600.0","52,400.0","1.62M","1.52%"
"14/02/2022","52,700.0","52,500.0","52,900.0","51,600.0","1.15M","-0.19%"
"11/02/2022","52,800.0","52,800.0","53,000.0","52,300.0","694.60K","0.00%"
"10/02/2022","52,800.0","53,000.0","53,500.0","52,100.0","1.18M","-0.56%"
"09/02/2022","53,100.0","50,600.0","53,500.0","50,400.0","2.09M","5.36%"
"08/02/2022","50,400.0","50,700.0","50,800.0","50,200.0","749.50K","-0.40%"
"07/02/2022","50,600.0","50,800.0","51,000.0","50,300.0","641.40K","1.20%"
"28/01/2022","50,000.0","50,000.0","50,800.0","49,700.0","767.20K","-0.20%"
"27/01/2022","50,100.0","50,000.0","51,100.0","50,000.0","587.30K","-0.60%"
"26/01/2022","50,400.0","50,400.0","51,000.0","49,700.0","1.36M","1.00%"
