"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2022","87,700.0","88,000.0","88,500.0","87,000.0","3.10M","-0.45%"
"10/03/2022","88,100.0","88,500.0","89,000.0","86,900.0","3.19M","0.11%"
"09/03/2022","88,000.0","87,400.0","89,000.0","86,800.0","3.23M","1.03%"
"08/03/2022","87,100.0","89,300.0","89,300.0","86,900.0","3.37M","-2.68%"
"07/03/2022","89,500.0","90,700.0","90,700.0","88,200.0","3.53M","-1.10%"
"04/03/2022","90,500.0","88,000.0","90,500.0","86,000.0","4.31M","2.84%"
"03/03/2022","88,000.0","87,600.0","89,000.0","87,100.0","4.93M","0.92%"
"02/03/2022","87,200.0","85,000.0","88,000.0","85,000.0","5.01M","3.20%"
"01/03/2022","84,500.0","85,000.0","85,400.0","82,700.0","3.41M","-0.59%"
"28/02/2022","85,000.0","87,300.0","87,800.0","85,000.0","2.52M","-2.86%"
"25/02/2022","87,500.0","88,500.0","90,300.0","87,100.0","2.68M","-1.24%"
"24/02/2022","88,600.0","89,900.0","90,100.0","87,300.0","3.07M","-1.56%"
"23/02/2022","90,000.0","89,900.0","91,200.0","89,400.0","3.00M","0.22%"
"22/02/2022","89,800.0","90,800.0","90,900.0","88,700.0","3.00M","-1.54%"
"21/02/2022","91,200.0","91,100.0","91,400.0","89,600.0","3.20M","0.00%"
"18/02/2022","91,200.0","92,500.0","92,800.0","89,900.0","3.42M","-0.87%"
"17/02/2022","92,000.0","90,500.0","92,000.0","90,300.0","4.03M","2.00%"
"16/02/2022","90,200.0","90,000.0","90,700.0","89,400.0","2.74M","0.22%"
"15/02/2022","90,000.0","89,400.0","90,500.0","89,100.0","2.68M","0.56%"
"14/02/2022","89,500.0","89,900.0","89,900.0","88,200.0","2.78M","-0.67%"
"11/02/2022","90,100.0","89,900.0","90,200.0","88,500.0","2.95M","0.11%"
"10/02/2022","90,000.0","91,000.0","91,400.0","89,900.0","3.15M","-0.88%"
"09/02/2022","90,800.0","88,900.0","91,800.0","88,000.0","4.11M","2.02%"
"08/02/2022","89,000.0","90,800.0","91,300.0","88,400.0","2.89M","-2.20%"
