"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2022","48,900.0","49,200.0","49,200.0","48,700.0","6.42M","-0.71%"
"10/03/2022","49,250.0","49,800.0","49,800.0","49,250.0","4.39M","0.31%"
"09/03/2022","49,100.0","49,000.0","49,350.0","48,900.0","6.96M","0.20%"
"08/03/2022","49,000.0","49,000.0","49,500.0","48,800.0","8.77M","-0.51%"
"07/03/2022","49,250.0","49,500.0","49,600.0","49,100.0","8.12M","-1.40%"
"04/03/2022","49,950.0","49,750.0","50,400.0","49,500.0","7.02M","0.60%"
"03/03/2022","49,650.0","49,500.0","49,900.0","49,150.0","7.39M","0.91%"
"02/03/2022","49,200.0","50,100.0","50,100.0","49,200.0","17.89M","-2.19%"
"01/03/2022","50,300.0","50,700.0","50,700.0","50,100.0","6.95M","-0.20%"
"28/02/2022","50,400.0","50,500.0","50,900.0","50,200.0","7.11M","-0.59%"
"25/02/2022","50,700.0","51,000.0","51,300.0","50,500.0","6.67M","0.40%"
"24/02/2022","50,500.0","51,500.0","51,900.0","49,800.0","15.53M","-2.32%"
"23/02/2022","51,700.0","51,700.0","52,200.0","51,400.0","6.19M","0.58%"
"22/02/2022","51,400.0","51,000.0","51,700.0","50,600.0","10.56M","-0.19%"
"21/02/2022","51,500.0","51,600.0","51,700.0","50,800.0","8.65M","-0.19%"
"18/02/2022","51,600.0","51,700.0","52,000.0","51,500.0","6.54M","-1.15%"
"17/02/2022","52,200.0","51,600.0","52,500.0","51,600.0","7.30M","1.16%"
"16/02/2022","51,600.0","52,200.0","52,200.0","51,500.0","6.17M","-0.39%"
"15/02/2022","51,800.0","51,600.0","52,100.0","51,300.0","8.58M","0.58%"
"14/02/2022","51,500.0","53,200.0","53,200.0","51,500.0","18.77M","-4.10%"
"11/02/2022","53,700.0","53,500.0","53,800.0","53,000.0","7.85M","0.19%"
"10/02/2022","53,600.0","53,600.0","54,200.0","53,100.0","11.22M","0.00%"
"09/02/2022","53,600.0","54,000.0","54,900.0","53,600.0","17.39M","-0.37%"
"08/02/2022","53,800.0","52,800.0","54,300.0","52,800.0","16.48M","1.89%"
"07/02/2022","52,800.0","53,700.0","53,800.0","52,800.0","9.81M","0.00%"
"28/01/2022","52,800.0","51,900.0","53,000.0","51,600.0","10.29M","1.73%"
"27/01/2022","51,900.0","52,000.0","52,700.0","51,500.0","8.04M","-0.95%"
"26/01/2022","52,400.0","52,400.0","53,300.0","52,000.0","15.04M","0.96%"
"25/01/2022","51,900.0","51,200.0","52,100.0","51,000.0","14.47M","3.18%"
"24/01/2022","50,300.0","49,950.0","51,400.0","49,800.0","16.27M","1.00%"
"21/01/2022","49,800.0","49,000.0","50,800.0","48,900.0","10.32M","1.94%"
"20/01/2022","48,850.0","48,650.0","49,400.0","48,600.0","6.43M","0.00%"
"19/01/2022","48,850.0","49,000.0","49,400.0","48,800.0","4.22M","0.21%"
"18/01/2022","48,750.0","48,600.0","49,450.0","48,500.0","7.89M","0.31%"
"17/01/2022","48,600.0","49,700.0","50,500.0","48,600.0","10.99M","-2.31%"
"14/01/2022","49,750.0","50,000.0","50,400.0","49,500.0","5.19M","-1.49%"
"13/01/2022","50,500.0","50,900.0","51,800.0","50,200.0","14.42M","0.20%"
"12/01/2022","50,400.0","48,450.0","50,400.0","48,400.0","12.04M","4.02%"
"11/01/2022","48,450.0","48,900.0","49,100.0","48,400.0","7.30M","-0.41%"
"10/01/2022","48,650.0","49,500.0","49,600.0","48,650.0","8.77M","-1.62%"
"07/01/2022","49,450.0","49,900.0","50,100.0","49,400.0","7.83M","-0.90%"
"06/01/2022","49,900.0","50,200.0","50,400.0","49,600.0","10.72M","-1.19%"
"05/01/2022","50,500.0","50,900.0","51,200.0","50,300.0","9.57M","-0.79%"
"04/01/2022","50,900.0","50,500.0","51,200.0","50,300.0","11.33M","1.80%"
"31/12/2021","50,000.0","49,500.0","50,500.0","49,450.0","9.55M","1.42%"
"30/12/2021","49,300.0","49,200.0","49,750.0","49,000.0","5.32M","0.41%"
"29/12/2021","49,100.0","49,150.0","49,650.0","49,000.0","6.14M","-0.10%"
"28/12/2021","49,150.0","49,250.0","49,350.0","48,700.0","7.47M","0.61%"
"27/12/2021","48,850.0","49,400.0","49,400.0","48,500.0","4.73M","-0.10%"
"24/12/2021","48,900.0","47,450.0","49,150.0","47,450.0","6.14M","3.27%"
"23/12/2021","47,350.0","48,850.0","48,850.0","47,300.0","13.50M","-3.17%"
"22/12/2021","48,900.0","49,300.0","49,500.0","48,300.0","12.63M","-0.71%"
