"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2022","75,000","75,200","75,200","74,000","3.61M","-0.27%"
"10/03/2022","75,200","74,800","75,900","74,500","3.78M","1.62%"
"09/03/2022","74,000","75,000","75,000","73,800","7.40M","-0.80%"
"08/03/2022","74,600","75,900","76,500","74,600","6.03M","-2.10%"
"07/03/2022","76,200","77,200","77,200","75,800","7.63M","-2.18%"
"04/03/2022","77,900","78,000","78,500","77,200","4.10M","-0.13%"
"03/03/2022","78,000","77,900","78,500","77,200","3.94M","0.65%"
"02/03/2022","77,500","77,700","78,000","77,000","3.40M","-0.64%"
"01/03/2022","78,000","77,500","78,200","77,500","2.46M","0.65%"
"28/02/2022","77,500","78,300","78,600","77,500","2.84M","-1.02%"
"25/02/2022","78,300","79,000","79,300","78,300","2.69M","-0.38%"
"24/02/2022","78,600","79,300","79,500","77,100","5.28M","-1.01%"
"23/02/2022","79,400","79,800","80,300","79,300","2.85M","0.13%"
"22/02/2022","79,300","79,300","79,500","78,400","5.15M","-0.88%"
"21/02/2022","80,000","80,000","80,500","79,700","3.12M","0.38%"
"18/02/2022","79,700","80,000","80,300","79,600","3.37M","-1.36%"
"17/02/2022","80,800","80,000","80,800","79,700","2.80M","1.00%"
"16/02/2022","80,000","80,300","80,500","79,700","2.33M","0.00%"
"15/02/2022","80,000","78,100","80,900","78,100","3.78M","2.43%"
"14/02/2022","78,100","79,000","79,500","78,100","5.09M","-2.01%"
"11/02/2022","79,700","80,000","80,500","79,500","3.48M","-0.50%"
"10/02/2022","80,100","81,800","81,800","79,600","5.87M","-1.72%"
"09/02/2022","81,500","81,200","84,000","81,200","4.71M","0.37%"
"08/02/2022","81,200","82,500","82,500","81,000","3.10M","-1.22%"
"07/02/2022","82,200","81,600","83,000","81,200","4.87M","2.37%"
"28/01/2022","80,300","80,400","81,200","80,200","3.90M","-0.86%"
"27/01/2022","81,000","81,200","81,800","79,700","4.45M","-0.25%"
"26/01/2022","81,200","81,000","81,200","80,000","3.92M","0.25%"
"25/01/2022","81,000","76,500","81,000","75,700","5.76M","6.30%"
"24/01/2022","76,200","78,700","79,000","76,200","5.61M","-4.03%"
"21/01/2022","79,400","79,400","79,500","77,700","5.04M","1.02%"
"20/01/2022","78,600","77,600","79,600","77,400","3.63M","1.29%"
"19/01/2022","77,600","77,000","78,300","77,000","3.34M","0.78%"
"18/01/2022","77,000","79,200","80,000","76,100","8.07M","-2.65%"
"17/01/2022","79,100","82,300","82,500","79,100","8.31M","-3.77%"
"14/01/2022","82,200","82,000","82,800","81,600","3.59M","0.00%"
"13/01/2022","82,200","84,000","84,300","82,000","6.68M","-1.67%"
"12/01/2022","83,600","83,000","84,400","81,400","6.53M","0.00%"
